id,currencyId,customerId,dateCompleted,dateCreated,locationGroupId,qbClassId,statusId,sales_channel
14954,1.0,4053,2021-03-16 00:00:00.000,2021-03-16 00:00:00.000,1,9,60,O
14955,1.0,3738,2021-03-18 00:00:00.000,2021-03-16 00:00:00.000,1,19,60,C
14956,1.0,1,2021-03-18 00:00:00.000,2021-03-16 00:00:00.000,1,8,60,H
14957,1.0,6046,2021-03-19 00:00:00.000,2021-03-16 00:00:00.000,1,9,60,O
14958,1.0,636,2021-03-22 00:00:00.000,2021-03-16 00:00:00.000,1,9,60,O
14959,1.0,2839,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,10,60,I
14960,1.0,312,2021-03-16 00:00:00.000,2021-03-16 00:00:00.000,1,9,60,F
14961,1.0,2839,2021-03-16 00:00:00.000,2021-03-16 00:00:00.000,1,10,60,I
14962,1.0,426,2021-03-16 00:00:00.000,2021-03-16 00:00:00.000,1,10,60,E
14963,1.0,2839,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,10,60,I
14965,1.0,1,2021-03-18 00:00:00.000,2021-03-16 00:00:00.000,1,8,60,H
14966,1.0,1,2021-03-18 00:00:00.000,2021-03-16 00:00:00.000,1,8,60,H
14967,1.0,4434,2021-06-02 00:00:00.000,2021-03-17 00:00:00.000,1,9,60,O
14968,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14969,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14970,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14971,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14972,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14973,1.0,341,2021-03-19 00:00:00.000,2021-03-17 00:00:00.000,1,9,60,O
14975,1.0,1,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,8,60,H
14976,1.0,1731,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,10,60,G
14977,1.0,734,2021-03-22 00:00:00.000,2021-03-17 00:00:00.000,1,19,60,K
14978,1.0,1,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,8,60,H
14979,1.0,3806,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,19,60,N
14980,1.0,6057,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,9,60,O
14982,1.0,1,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,8,60,H
14983,1.0,3995,2021-03-18 00:00:00.000,2021-03-17 00:00:00.000,1,10,60,B
14984,1.0,312,2021-03-18 00:00:00.000,2021-03-16 00:00:00.000,1,9,60,F
14985,1.0,312,2021-03-18 00:00:00.000,2021-03-18 00:00:00.000,1,9,60,F
14986,1.0,3809,2021-03-15 00:00:00.000,2021-03-12 00:00:00.000,1,9,60,M
14987,1.0,4808,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,9,60,O
14988,1.0,1,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,8,60,H
14989,1.0,1731,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,10,60,G
14990,1.0,734,2021-03-23 00:00:00.000,2021-03-18 00:00:00.000,1,19,60,K
14991,1.0,1,2021-03-22 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
14992,1.0,1,2021-03-22 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
14993,1.0,1,2021-03-22 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
14994,1.0,1,2021-03-22 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
14997,1.0,5568,2021-03-19 16:30:19.984,2021-03-19 00:00:00.000,1,12,70,P
14998,1.0,3545,2021-03-26 00:00:00.000,2021-03-19 00:00:00.000,1,9,60,O
14999,1.0,1,2021-03-22 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
15000,1.0,1,2021-03-23 00:00:00.000,2021-03-19 00:00:00.000,1,8,60,H
15001,1.0,734,2021-03-23 00:00:00.000,2021-03-19 00:00:00.000,1,19,60,K
15002,1.0,1,2021-03-23 00:00:00.000,2021-03-20 00:00:00.000,1,8,60,H
15003,1.0,1731,2021-03-25 00:00:00.000,2021-03-20 00:00:00.000,1,10,60,G
15004,1.0,1,2021-03-23 00:00:00.000,2021-03-20 00:00:00.000,1,8,60,H
15005,1.0,1,2021-03-23 00:00:00.000,2021-03-20 00:00:00.000,1,8,60,H
15006,1.0,1731,2021-03-25 00:00:00.000,2021-03-20 00:00:00.000,1,10,60,G
15007,1.0,1,2021-03-23 00:00:00.000,2021-03-20 00:00:00.000,1,8,60,H
15008,1.0,734,2021-03-25 00:00:00.000,2021-03-20 00:00:00.000,1,19,60,K
15009,1.0,1,2021-03-23 00:00:00.000,2021-03-20 00:00:00.000,1,8,60,H
15010,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15011,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15012,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15013,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15014,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15015,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15016,1.0,6076,2021-03-24 00:00:00.000,2021-03-21 00:00:00.000,1,9,60,O
15017,1.0,1207,2021-03-22 00:00:00.000,2021-03-21 00:00:00.000,1,9,60,O
15018,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15019,1.0,1731,2021-03-25 00:00:00.000,2021-03-21 00:00:00.000,1,10,60,G
15020,1.0,1,2021-03-23 00:00:00.000,2021-03-21 00:00:00.000,1,8,60,H
15021,1.0,734,2021-03-25 00:00:00.000,2021-03-21 00:00:00.000,1,19,60,K
15022,1.0,4632,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,19,60,K
15023,1.0,6080,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,19,60,K
15024,1.0,1731,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,10,60,G
15025,1.0,3806,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,19,60,N
15026,1.0,426,2021-03-22 00:00:00.000,2021-03-18 00:00:00.000,1,10,60,E
